provincia destinazione,area geografica provenienza,paese provenienza,esercizi alberghieri - arrivi,esercizi alberghieri - presenze,esercizi complementari - arrivi,esercizi complementari - presenze,totale esercizi ricettivi - arrivi,totale esercizi ricettivi - presenze
Roma,Unione Europea,Romania,46.456,138.735,4.014,14.673,50.470,153.408
Roma,Unione Europea,Svezia,83.570,365.626,7.942,42.409,91.512,408.035
Roma,Unione Europea,Slovenia,8.925,24.314,821,2.769,9.746,27.083
Roma,Unione Europea,Slovacchia,3.184,10.777,411,1.564,3.595,12.341
Roma,Unione Europea,Regno unito,528.516,1.677.334,51.326,203.413,579.842,1.880.747
Latina,Unione Europea,Italia,304.216,1.008.920,173.792,1.219.382,478.008,2.228.302
Latina,Unione Europea,Austria,1.214,5.875,298,1.375,1.512,7.250
Latina,Unione Europea,Belgio,1.684,7.035,482,2.520,2.166,9.555
Latina,Unione Europea,Bulgaria,267,1.085,41,255,308,1.340
Latina,Unione Europea,Cipro,19,40,-,-,19,40
Latina,Unione Europea,"Ceca, Repubblica",526,2.775,329,2.505,855,5.280
Latina,Unione Europea,Germania,9.198,52.684,3.214,25.104,12.412,77.788
Latina,Unione Europea,Danimarca,1.182,6.580,205,1.335,1.387,7.915
Latina,Unione Europea,Estonia,107,409,5,5,112,414
Latina,Unione Europea,Spagna,1.868,8.518,186,592,2.054,9.110
Latina,Unione Europea,Finlandia,1.565,9.336,83,492,1.648,9.828
Latina,Unione Europea,Francia,5.514,23.214,814,5.038,6.328,28.252
Latina,Unione Europea,Grecia,452,2.464,30,152,482,2.616
Latina,Unione Europea,Ungheria,1.042,7.061,153,993,1.195,8.054
Latina,Unione Europea,Irlanda,956,4.077,1.591,12.876,2.547,16.953
Latina,Unione Europea,Lituania,263,1.328,68,365,331,1.693
Latina,Unione Europea,Lussemburgo,130,531,30,195,160,726
Latina,Unione Europea,Lettonia,145,442,18,50,163,492
Latina,Unione Europea,Malta,37,106,2,2,39,108
Latina,Unione Europea,Paesi Bassi,1.809,10.277,1.326,11.356,3.135,21.633
Latina,Unione Europea,Polonia,2.256,16.981,1.053,8.251,3.309,25.232
Latina,Unione Europea,Portogallo,306,1.167,54,199,360,1.366
